Time	E1_L13.1	E2_L08.1PG_Col0	E3_L13.2	E4_L08.2PG_Col0
23.2	-0.00445638	-0.00653788	-4.97488e-05	0.00910128
23.3	-0.00442986	-0.00623897	0.000104237	0.00903511
23.4	-0.0044676	-0.0065136	0.000292667	0.00912508
23.5	-0.00437033	-0.0064785	0.000119413	0.00932956
23.6	-0.00419553	-0.00641839	3.20657e-05	0.00921637
23.7	-0.00414589	-0.00649023	0.000174639	0.00958174
23.8	-0.00409301	-0.00655089	0.000352589	0.00952205
23.9	-0.0039736	-0.00641896	0.000175904	0.00958072
24	-0.00413586	-0.00653057	0.000356775	0.00960294
24.1	-0.00394081	-0.00625175	4.94833e-05	0.00980594
24.2	-0.004141	-0.00631153	0.00027161	0.00972828
24.3	-0.00396613	-0.00630808	0.000343766	0.00985616
24.4	-0.00401706	-0.00657114	8.37525e-05	0.0101192
24.5	-0.00427499	-0.00661601	0.000194917	0.00986664
24.6	-0.00425519	-0.00658162	0.000244819	0.0099162
24.7	-0.00411309	-0.00649512	0.000165723	0.0100587
24.8	-0.00396859	-0.00631668	0.000317857	0.00997756
24.9	-0.00402779	-0.00651238	0.000300639	0.00992823
25	-0.00405204	-0.00643044	0.000107327	0.0101473
25.1	-0.00400084	-0.00626792	0.000171091	0.0101359
25.2	-0.00366494	-0.00626642	0.000200079	0.010131
25.3	-0.0038672	-0.006412	0.000340583	0.0100321
25.4	-0.00381249	-0.00641671	0.000627399	0.0100556
25.5	-0.00354256	-0.00635295	0.000466505	0.00993998
25.6	-0.00357003	-0.00629525	0.000805983	0.0102186
25.7	-0.00343577	-0.00635254	0.00038229	0.0100276
25.8	-0.00328066	-0.00633651	0.000588598	0.0103349
25.9	-0.00323529	-0.00641612	0.00052494	0.0104673
26	-0.00338498	-0.00651543	0.000438676	0.0103516
26.1	-0.00322123	-0.00652705	0.000733779	0.0104563
26.2	-0.00331177	-0.00687441	0.000676832	0.01047
26.3	-0.00362755	-0.00712406	0.000587655	0.0106171
26.4	-0.00338874	-0.0067896	9.62743e-05	0.0108224
26.5	-0.00335425	-0.00697726	0.000630243	0.0108737
26.6	-0.00339507	-0.00696598	0.000274486	0.0109252
26.7	-0.00321866	-0.00705672	0.000501955	0.0106902
