"Seconds","Leaf","V","plant","Genotype","Stim","Date","DayTime","Plot","id"
301,"L08",-50.1064,2,"Col0","CG",250101,"15:38:20.886","Yes",1
302,"L08",-49.9246,2,"Col0","CG",250101,"15:38:21.886","Yes",1
303,"L08",-49.8175,2,"Col0","CG",250101,"15:38:22.886","Yes",1
304,"L08",-49.7203,2,"Col0","CG",250101,"15:38:23.886","Yes",1
305,"L08",-49.6239,2,"Col0","CG",250101,"15:38:24.886","Yes",1
306,"L08",-49.5162,2,"Col0","CG",250101,"15:38:25.886","Yes",1
307,"L08",-49.4544,2,"Col0","CG",250101,"15:38:26.886","Yes",1
308,"L08",-49.3575,2,"Col0","CG",250101,"15:38:27.886","Yes",1
309,"L08",-49.2632,2,"Col0","CG",250101,"15:38:28.886","Yes",1
310,"L08",-49.1493,2,"Col0","CG",250101,"15:38:29.886","Yes",1
311,"L08",-49.0761,2,"Col0","CG",250101,"15:38:30.886","Yes",1
312,"L08",-48.9817,2,"Col0","CG",250101,"15:38:31.886","Yes",1
313,"L08",-48.8815,2,"Col0","CG",250101,"15:38:32.886","Yes",1
314,"L08",-48.8296,2,"Col0","CG",250101,"15:38:33.886","Yes",1
315,"L08",-48.7276,2,"Col0","CG",250101,"15:38:34.886","Yes",1
316,"L08",-48.6208,2,"Col0","CG",250101,"15:38:35.886","Yes",1
317,"L08",-48.567,2,"Col0","CG",250101,"15:38:36.886","Yes",1
318,"L08",-48.4534,2,"Col0","CG",250101,"15:38:37.886","Yes",1
319,"L08",-48.3594,2,"Col0","CG",250101,"15:38:38.886","Yes",1
320,"L08",-48.3075,2,"Col0","CG",250101,"15:38:39.886","Yes",1
321,"L08",-48.2047,2,"Col0","CG",250101,"15:38:40.886","Yes",1
322,"L08",-48.1019,2,"Col0","CG",250101,"15:38:41.886","Yes",1
323,"L08",-48.0181,2,"Col0","CG",250101,"15:38:42.886","Yes",1
324,"L08",-47.9782,2,"Col0","CG",250101,"15:38:43.886","Yes",1
325,"L08",-47.92,2,"Col0","CG",250101,"15:38:44.886","Yes",1
326,"L08",-47.8435,2,"Col0","CG",250101,"15:38:45.886","Yes",1
327,"L08",-47.7974,2,"Col0","CG",250101,"15:38:46.886","Yes",1
328,"L08",-47.7399,2,"Col0","CG",250101,"15:38:47.886","Yes",1
329,"L08",-47.6979,2,"Col0","CG",250101,"15:38:48.886","Yes",1
330,"L08",-47.614,2,"Col0","CG",250101,"15:38:49.886","Yes",1
331,"L08",-47.5554,2,"Col0","CG",250101,"15:38:50.886","Yes",1
332,"L08",-47.4834,2,"Col0","CG",250101,"15:38:51.886","Yes",1
333,"L08",-47.4135,2,"Col0","CG",250101,"15:38:52.886","Yes",1
334,"L08",-47.3803,2,"Col0","CG",250101,"15:38:53.886","Yes",1
335,"L08",-47.3277,2,"Col0","CG",250101,"15:38:54.886","Yes",1
336,"L08",-47.2967,2,"Col0","CG",250101,"15:38:55.886","Yes",1
337,"L08",-47.2146,2,"Col0","CG",250101,"15:38:56.886","Yes",1
338,"L08",-47.1502,2,"Col0","CG",250101,"15:38:57.886","Yes",1
339,"L08",-47.1,2,"Col0","CG",250101,"15:38:58.886","Yes",1
340,"L08",-47.0448,2,"Col0","CG",250101,"15:38:59.886","Yes",1
341,"L08",-47.0066,2,"Col0","CG",250101,"15:39:00.886","Yes",1
342,"L08",-46.9463,2,"Col0","CG",250101,"15:39:01.886","Yes",1
