Time	E1_L08.1PG_Col.0	E2_L13.1	E3_L13.2	E4_L08.2PG_Col.0
1.72	-3.68018e-05	0.00161151	-0.00214434	0.0162978
1.73	0.000263022	0.00169976	-0.00224654	0.017198
1.74	0.000180273	0.00162954	-0.00222573	0.0173427
1.75	0.000176594	0.00165927	-0.00229879	0.0174575
1.76	0.000160253	0.00183442	-0.00215766	0.0176055
1.77	0.000241252	0.00155381	-0.00252431	0.0175185
1.78	0.000258225	0.00191011	-0.00209166	0.0174051
1.79	0.000183374	0.00179977	-0.00239554	0.0176029
1.8	0.000223365	0.00192749	-0.002202	0.0175434
1.81	0.00026913	0.00179584	-0.00234194	0.0178609
1.82	0.00027777	0.00174211	-0.00220091	0.0182792
1.83	0.000179875	0.00187569	-0.00212231	0.0180091
1.84	0.000204181	0.00191411	-0.00197826	0.017103
1.85	0.000195466	0.00189945	-0.00227232	0.0164776
1.86	0.000182544	0.00185222	-0.00222315	0.016203
1.87	0.000123187	0.00190963	-0.00238007	0.016295
1.88	0.000136911	0.00219182	-0.00199046	0.0161587
1.89	0.000118635	0.00201324	-0.00204869	0.0163739
1.9	8.91143e-05	0.00195708	-0.0022131	0.0162478
1.91	9.31252e-05	0.00180429	-0.0022631	0.0167489
1.92	2.28439e-05	0.00211416	-0.00221479	0.0181745
1.93	0.000216579	0.00170925	-0.0022142	0.0191297
1.94	0.000274092	0.00175804	-0.00240221	0.0187957
1.95	0.000177819	0.0018729	-0.00219807	0.0188949
1.96	0.000155214	0.00185694	-0.00213601	0.0199249
1.97	0.000111612	0.00169538	-0.00224163	0.0181668
1.98	0.000207376	0.0018742	-0.00215331	0.0178522
1.99	0.000221114	0.00186528	-0.0023649	0.0188666
2	0.000203802	0.00196117	-0.00210477	0.0190845
2.01	0.000307352	0.00172755	-0.00253063	0.0194424
2.02	0.000122018	0.00159588	-0.00239448	0.0190928
2.03	0.000217345	0.00171529	-0.00221099	0.019462
2.04	0.000268164	0.00175825	-0.00231172	0.0188173
2.05	0.000390924	0.00189094	-0.00229889	0.0190827
2.06	0.00030799	0.00175763	-0.00241738	0.0188055
2.07	0.000286569	0.00166395	-0.00234168	0.0188632
2.08	0.000415245	0.00189419	-0.00219784	0.0185002
2.09	0.000322365	0.00173944	-0.00227851	0.0178732
2.1	0.000240863	0.00167575	-0.00210228	0.0176658
2.11	0.000322035	0.00160533	-0.00230856	0.0174171
2.12	0.000254852	0.00179502	-0.00227418	0.0168497
2.13	0.000327842	0.00204687	-0.00216157	0.0171431
2.14	0.000200993	0.00169019	-0.00208483	0.0169679
2.15	0.000237963	0.00168935	-0.00199388	0.0164345
2.16	0.00034137	0.0017359	-0.00201727	0.0176423
2.17	0.000242523	0.0014633	-0.00212354	0.0174252
2.18	0.000263072	0.00189489	-0.00214724	0.0185076
2.19	0.000391174	0.00186998	-0.00239051	0.0183444
2.2	0.000206969	0.00169716	-0.00214356	0.0174309
2.21	0.000239566	0.00167887	-0.00223751	0.0174332
2.22	0.000345143	0.00169648	-0.00233	0.0176365
2.23	0.0004384	0.0015921	-0.00223345	0.0181209
2.24	0.000320474	0.00167312	-0.00217807	0.0177606
2.25	0.000288326	0.00158053	-0.00227595	0.0173302
2.26	0.000303645	0.0017375	-0.00205236	0.017151
2.27	0.000469131	0.0015565	-0.00214684	0.0179086
2.28	0.000311037	0.00179171	-0.00203904	0.0178989
2.29	0.000231235	0.00167653	-0.00241267	0.0175789
2.3	0.000141971	0.00164084	-0.00237562	0.0177833
2.31	0.000251471	0.00161576	-0.00258109	0.0188028
2.32	0.000367452	0.00145095	-0.00229943	0.0181858
2.33	0.000295552	0.00137062	-0.0025958	0.0176501
2.34	0.000351735	0.00149051	-0.00221842	0.0176806
2.35	0.000412471	0.00147619	-0.00245525	0.0168
2.36	0.000487006	0.00155836	-0.00242708	0.0162777
2.37	0.000443812	0.00165429	-0.0024024	0.0163412
2.38	0.000360962	0.00168732	-0.00226663	0.016608
2.39	0.000257122	0.00156732	-0.00250838	0.0165691
2.4	0.0003152	0.00165335	-0.00229369	0.0151943
2.41	0.000319525	0.0015039	-0.00265306	0.014416
2.42	0.000171373	0.00160794	-0.00244589	0.0141564
2.43	0.000175899	0.00139634	-0.00239553	0.0141737
2.44	0.000301451	0.00128348	-0.0024127	0.014587
2.45	0.000303507	0.00127514	-0.0025554	0.0171006
2.46	0.000179333	0.00132894	-0.00238231	0.0169064
2.47	0.000307576	0.00115797	-0.0024064	0.0158151
2.48	0.000196098	0.00144871	-0.0022367	0.0170648
2.49	0.000220396	0.0013444	-0.00239625	0.0167805
2.5	0.000161229	0.00130749	-0.00226712	0.0149758
2.51	0.000231453	0.0012583	-0.00261799	0.0177372
2.52	0.000402461	0.00121236	-0.00237941	0.0156985
2.53	0.000128075	0.00113955	-0.00248705	0.0151044
2.54	0.000225808	0.00117283	-0.00234042	0.0152931
2.55	0.000289514	0.00138564	-0.00234979	0.0152697
2.56	0.000121939	0.001256	-0.00240197	0.0151963
2.57	0.000148111	0.00118773	-0.00249666	0.0152779
2.58	0.000369216	0.00123828	-0.00230385	0.0153501
2.59	0.000199597	0.00126597	-0.00245537	0.01534
2.6	0.000236136	0.00109026	-0.00250225	0.0152013
2.61	0.00016874	0.000965288	-0.00256075	0.0153099
2.62	5.62212e-06	0.00110066	-0.00244872	0.0154354
2.63	4.56054e-05	0.00107927	-0.00257165	0.0155647
2.64	0.000104371	0.000999504	-0.00242101	0.0157479
2.65	0.000297249	0.000827713	-0.00241293	0.0160525
2.66	0.000284773	0.000697359	-0.00222254	0.015871
2.67	0.000217389	0.000792856	-0.00223998	0.0154263
2.68	0.000155421	0.000938437	-0.00185077	0.0154274
2.69	0.000166722	0.000750338	-0.00204717	0.0155814
2.7	0.000131001	0.000992095	-0.00230238	0.0157922
2.71	0.000206854	0.000779189	-0.00250483	0.0155954
2.72	0.000222453	0.00103836	-0.00221696	0.0163023
2.73	0.000133841	0.00102618	-0.00232866	0.0160323
2.74	5.7897e-05	0.00125621	-0.00222769	0.0156409
2.75	0.000227743	0.00130531	-0.00241516	0.0152652
2.76	0.000141569	0.00104502	-0.00259296	0.0151702
2.77	0.000292775	0.000971675	-0.00250843	0.015162
2.78	0.000281238	0.00126057	-0.00234422	0.015482
2.79	0.000250289	0.00102337	-0.00245418	0.0160296
2.8	0.000172823	0.000866102	-0.00232312	0.0169667
2.81	0.000313281	0.000955039	-0.00260201	0.0167469
2.82	0.000199253	0.000934267	-0.0025142	0.0168119
2.83	0.000252091	0.000976289	-0.00253637	0.0166706
2.84	0.000206675	0.000727531	-0.00257187	0.0162619
2.85	0.000317879	0.000956179	-0.00281332	0.0159321
2.86	8.25176e-05	0.000914398	-0.00283347	0.0160301
2.87	0.000258113	0.000664525	-0.00276661	0.0162962
2.88	0.000340955	0.000747935	-0.00242688	0.0169941
2.89	0.000540148	0.000903601	-0.00252395	0.0173693
2.9	0.000243203	0.000859795	-0.00243669	0.0165364
2.91	0.000415749	0.000652544	-0.00243044	0.016584
2.92	0.000305255	0.000750544	-0.00213482	0.0164568
2.93	0.000599481	0.000957187	-0.00231718	0.0160162
2.94	0.000483231	0.000799442	-0.00256539	0.0157734
2.95	0.000522052	0.00103825	-0.0023761	0.0160079
2.96	0.000389844	0.00100402	-0.0023548	0.0162258
2.97	0.000503832	0.000749934	-0.00260033	0.0160944
2.98	0.000391131	0.000727885	-0.00211486	0.0158948
2.99	0.000662032	0.000841115	-0.00249803	0.0158845
3	0.000536874	0.000707141	-0.00256571	0.0162393
3.01	0.000501098	0.000698495	-0.00255662	0.0158521
3.02	0.000659079	0.000794396	-0.00267726	0.0157949
3.03	0.000599163	0.000732441	-0.00269549	0.0155796
3.04	0.000512537	0.00071981	-0.00239673	0.0160133
3.05	0.000596358	0.000707797	-0.00256314	0.0161125
3.06	0.00052047	0.000907822	-0.00251765	0.0161785
3.07	0.000463035	0.00088738	-0.00259018	0.0160516
3.08	0.000529237	0.000993776	-0.00233172	0.0154518
3.09	0.00056496	0.000995083	-0.00241505	0.0154364
3.1	0.000561084	0.000866728	-0.00224558	0.0151311
3.11	0.00055618	0.000925297	-0.00237515	0.0147641
3.12	0.000431473	0.000608662	-0.00240134	0.01456
3.13	0.000565492	0.000665439	-0.00271199	0.0145519
3.14	0.000594892	0.000580413	-0.00253395	0.0147592
3.15	0.000551447	0.000898288	-0.00263377	0.0148272
3.16	0.000401173	0.000980362	-0.00255994	0.014779
3.17	0.000623361	0.000793496	-0.00262426	0.0150767
3.18	0.000403069	0.000918658	-0.00248379	0.0151828
3.19	0.000308409	0.000798468	-0.00263988	0.015437
3.2	0.000539696	0.00075556	-0.00256202	0.0154386
3.21	0.000544297	0.000599147	-0.00265998	0.0152083
3.22	0.00042067	0.000516313	-0.00273169	0.0150309
3.23	0.00059881	0.00031374	-0.00271187	0.0155302
3.24	0.000449545	0.000823254	-0.00271958	0.0162014
3.25	0.000488185	0.000761904	-0.0026305	0.0161296
3.26	0.000473678	0.000791828	-0.00260693	0.0160047
3.27	0.000516172	0.000844888	-0.00269677	0.0156326
3.28	0.000568351	0.000504032	-0.00252268	0.0157267
3.29	0.000536826	0.000718556	-0.00263046	0.0155469
3.3	0.000470295	0.000603628	-0.00255088	0.0154979
3.31	0.000532856	0.000553458	-0.002635	0.015472
3.32	0.000460997	0.000686407	-0.00240233	0.0154269
3.33	0.000504029	0.000628085	-0.00260371	0.0152202
3.34	0.000610186	0.000814182	-0.00250648	0.015309
3.35	0.000544636	0.000598626	-0.00271157	0.01561
3.36	0.000381845	0.000687146	-0.00283683	0.0157999
3.37	0.00037499	0.000548453	-0.00277929	0.0157897
3.38	0.000530952	0.000565885	-0.00268777	0.015523
3.39	0.000396006	0.000451958	-0.00283587	0.0155738
3.4	0.000590009	0.000823319	-0.00247159	0.0158126
3.41	0.000709555	0.000523806	-0.00265371	0.0159741
3.42	0.000548784	0.000754214	-0.00243245	0.0155221
3.43	0.000478191	0.000555935	-0.00253539	0.0166515
3.44	0.000430496	0.000647453	-0.00275706	0.0153255
3.45	0.000629594	0.000527906	-0.00285806	0.0160112
3.46	0.000391924	0.000657922	-0.00261184	0.0174467
3.47	0.000586728	0.000554061	-0.00265152	0.017419
3.48	0.00045349	0.00069542	-0.00262105	0.0162746
3.49	0.000689148	0.000519695	-0.00266434	0.0165452
3.5	0.00057385	0.000737808	-0.00259441	0.0164899
3.51	0.000478074	0.000456073	-0.00251357	0.0167275
3.52	0.000671262	0.000720949	-0.0026251	0.0170215
3.53	0.000399919	0.000654386	-0.00276102	0.0169668
3.54	0.000192659	0.000786493	-0.00260468	0.0167374
3.55	0.000402485	0.000546277	-0.00269577	0.0166613
3.56	0.000627211	0.000588043	-0.00288442	0.0171113
3.57	0.000567635	0.000682611	-0.00280972	0.0172531
3.58	0.000530876	0.000716023	-0.00263958	0.0174749
3.59	0.000634895	0.000466147	-0.00268622	0.017094
3.6	0.000398679	0.000474972	-0.00263334	0.0170854
3.61	0.000445419	0.000405917	-0.00268169	0.0170651
3.62	0.00029367	0.000693252	-0.00276837	0.0169089
3.63	0.000393548	0.00052917	-0.00269831	0.0168348
3.64	0.000634017	0.000838776	-0.00273353	0.016783
3.65	0.00027488	0.000672931	-0.00261727	0.0171574
3.66	0.000506862	0.000417827	-0.00254137	0.0165247
3.67	0.000590694	0.000515433	-0.00252165	0.0163302
3.68	0.00037214	0.000859305	-0.00255348	0.0164537
3.69	0.000491611	0.000542445	-0.00278118	0.0169873
3.7	0.000707828	0.000603814	-0.00290727	0.0170417
3.71	0.000460827	0.000271111	-0.0029298	0.0169635
3.72	0.000615696	0.000873311	-0.00274337	0.0169763
3.73	0.000583113	0.000572614	-0.00272673	0.016497
3.74	0.000471898	0.000490985	-0.00298679	0.0169467
3.75	0.000526303	0.000552131	-0.00308379	0.0173515
3.76	0.000327763	0.00050002	-0.00299369	0.0171191
3.77	0.00041324	0.000607932	-0.00289268	0.0169158
3.78	0.000520492	0.00076188	-0.00256901	0.0173023
3.79	0.000684493	0.000663606	-0.00264878	0.0177897
3.8	0.000499351	0.0009824	-0.00268722	0.0183432
3.81	0.000594924	0.000712714	-0.00274438	0.0185335
3.82	0.000515629	0.000550482	-0.00269927	0.0188559
