Time	E1_L08.1PG_Col.0	E2_L13.1	E3_L08.2PG_Col.0	E4_L13.2
2.3	0.0482564	-0.00389011	0.0231111	-0.00307744
2.31	0.0485299	-0.00360535	0.0229739	-0.00303161
2.32	0.0482716	-0.00389666	0.0228949	-0.00317519
2.33	0.0482324	-0.00391405	0.0231049	-0.00306993
2.34	0.0483984	-0.00377716	0.0229492	-0.00314237
2.35	0.0486557	-0.00370334	0.022814	-0.0030761
2.36	0.0485227	-0.00381054	0.0227451	-0.00318564
2.37	0.0485717	-0.00367365	0.0230294	-0.00312496
2.38	0.0482789	-0.00395038	0.0230584	-0.00302939
2.39	0.0484869	-0.00351501	0.022917	-0.0030373
2.4	0.0482654	-0.00359966	0.0230122	-0.00297004
2.41	0.0483061	-0.0035849	0.0228983	-0.00304319
2.42	0.0484056	-0.00386153	0.0228693	-0.00313394
2.43	0.0484953	-0.00359792	0.022864	-0.00305867
2.44	0.0483609	-0.00383922	0.0228416	-0.00317498
2.45	0.0484864	-0.00369171	0.022778	-0.00313467
2.46	0.0482831	-0.00391121	0.0229384	-0.00316747
2.47	0.0484269	-0.00368809	0.0228456	-0.00311234
2.48	0.0484509	-0.00370084	0.0227991	-0.00296661
2.49	0.0485275	-0.00343003	0.0229055	-0.00296231
2.5	0.0483756	-0.00379929	0.0227403	-0.00293995
2.51	0.0486463	-0.00362893	0.0232302	-0.00301547
2.52	0.0481735	-0.00380137	0.0230335	-0.00319909
2.53	0.0485526	-0.00369548	0.023243	-0.00320776
2.54	0.0484873	-0.00384145	0.0231744	-0.00305891
2.55	0.0487104	-0.00375374	0.023257	-0.00315984
2.56	0.0483878	-0.00381138	0.0227767	-0.00324787
2.57	0.0486747	-0.00367626	0.0230273	-0.00316333
2.58	0.0483328	-0.00417622	0.0232665	-0.00326029
2.59	0.0484533	-0.00397407	0.0231301	-0.00328071
2.6	0.0485345	-0.00395197	0.0233328	-0.00310478
2.61	0.0486206	-0.0039441	0.0234966	-0.00308993
2.62	0.0483613	-0.00407356	0.0227221	-0.00324714
2.63	0.0484109	-0.00399592	0.0227607	-0.00319464
2.64	0.0482409	-0.00424164	0.022811	-0.00325432
2.65	0.0484836	-0.0040243	0.023054	-0.00323372
2.66	0.0483752	-0.00409516	0.0229227	-0.00328573
2.67	0.0484638	-0.00394944	0.0231572	-0.00320914
2.68	0.0486083	-0.00398769	0.0230134	-0.00319527
2.69	0.0486914	-0.00383873	0.0235656	-0.00327326
2.7	0.0484305	-0.00412438	0.0228735	-0.00329386
2.71	0.0485003	-0.00396598	0.0230086	-0.00329661
2.72	0.0484709	-0.00382384	0.0228538	-0.00333684
2.73	0.0487051	-0.00362646	0.0230308	-0.00335811
2.74	0.0484041	-0.00399677	0.0230375	-0.00334056
2.75	0.0486524	-0.00378297	0.0229323	-0.00336074
2.76	0.0485385	-0.00406641	0.0227954	-0.00333637
2.77	0.0485049	-0.00385916	0.0229621	-0.00330935
2.78	0.0484328	-0.00414536	0.0228089	-0.00333355
2.79	0.0485363	-0.00376365	0.0230638	-0.00328993
2.8	0.0483153	-0.00391249	0.0227916	-0.00357835
2.81	0.0484047	-0.00389541	0.0230651	-0.00331266
2.82	0.0482982	-0.00387669	0.0229451	-0.00339835
2.83	0.0484477	-0.00383728	0.0231484	-0.00332788
2.84	0.0483596	-0.0040701	0.0229889	-0.00323782
2.85	0.0486997	-0.0038651	0.0231414	-0.00319194
2.86	0.0486573	-0.00393599	0.0225704	-0.0033049
2.87	0.0488868	-0.00366897	0.0228837	-0.00320586
2.88	0.0486643	-0.00400101	0.0225869	-0.00338754
2.89	0.0489073	-0.00395247	0.0227519	-0.00337777
2.9	0.0493148	-0.00428724	0.0228113	-0.00321546
2.91	0.0497515	-0.00404342	0.0228182	-0.00325611
2.92	0.0494014	-0.00405824	0.0226653	-0.00336413
2.93	0.0495095	-0.00392233	0.0226793	-0.00337808
2.94	0.0496753	-0.00401038	0.0227587	-0.00342813
2.95	0.050058	-0.00404895	0.0231138	-0.00339117
2.96	0.0502223	-0.00411667	0.0229025	-0.00342266
2.97	0.0506581	-0.00385947	0.0230067	-0.00350933
2.98	0.0507074	-0.00400215	0.0228668	-0.00339313
2.99	0.0507832	-0.00409747	0.0227701	-0.00334047
3	0.0506251	-0.00405169	0.0225857	-0.00333268
3.01	0.0507931	-0.00397464	0.0228624	-0.00334703
3.02	0.0505584	-0.00408154	0.0226403	-0.00342967
3.03	0.0509632	-0.00379835	0.0230459	-0.00334077
3.04	0.0507777	-0.00415372	0.0225377	-0.00344659
3.05	0.0504827	-0.00391253	0.0229096	-0.00344392
3.06	0.0492783	-0.00417781	0.0226978	-0.00346597
3.07	0.0483591	-0.00383214	0.0231788	-0.00330644
3.08	0.046854	-0.00402167	0.0230242	-0.00349932
3.09	0.0457542	-0.0040796	0.023088	-0.00345512
3.1	0.0443522	-0.00395575	0.0226743	-0.00340717
3.11	0.0429469	-0.00379354	0.0227688	-0.00345817
3.12	0.041305	-0.00398302	0.0226238	-0.00334736
3.13	0.0402846	-0.00387492	0.0229703	-0.00334599
3.14	0.0380807	-0.0040804	0.0230471	-0.00340804
3.15	0.0354509	-0.00401184	0.0231667	-0.00337828
3.16	0.0322709	-0.00402374	0.0229918	-0.00346388
3.17	0.0297709	-0.00405768	0.0230916	-0.00338611
3.18	0.026717	-0.00419049	0.0225568	-0.00348893
3.19	0.0245112	-0.00399978	0.02292	-0.00353916
3.2	0.0224463	-0.00419338	0.0226239	-0.00337293
3.21	0.0206446	-0.00397987	0.0226538	-0.0033258
3.22	0.0185332	-0.00409435	0.0224345	-0.00339538
3.23	0.0169248	-0.00403568	0.02274	-0.00359861
3.24	0.0150438	-0.00424808	0.0227876	-0.00358649
3.25	0.01383	-0.00407926	0.0229529	-0.00348471
3.26	0.0119148	-0.00418772	0.0227989	-0.00347616
3.27	0.0102464	-0.00387387	0.023056	-0.0034536
3.28	0.00840439	-0.00397089	0.0227687	-0.00348954
3.29	0.00691547	-0.00381215	0.0229047	-0.00366179
3.3	0.00528269	-0.00413818	0.0226026	-0.00362879
3.31	0.00422698	-0.00393689	0.0229849	-0.00341211
3.32	0.0026863	-0.00392644	0.0227848	-0.00341368
3.33	0.00187902	-0.00382625	0.0228995	-0.00338646
3.34	0.000265853	-0.00402794	0.022542	-0.00353307
3.35	-0.000398438	-0.00375471	0.0228866	-0.00353443
3.36	-0.000829467	-0.00373704	0.0229002	-0.00355158
3.37	-0.00139096	-0.00353797	0.022879	-0.00363445
3.38	-0.00209694	-0.00374878	0.0227341	-0.0035264
3.39	-0.00230899	-0.00357609	0.0228943	-0.00358242
3.4	-0.00277305	-0.00380578	0.0225558	-0.00350489
3.41	-0.00289307	-0.00373795	0.0226861	-0.00350739
3.42	-0.00324098	-0.00368636	0.0226873	-0.00354817
3.43	-0.00335032	-0.00341767	0.0230614	-0.00357675
3.44	-0.00403734	-0.00377578	0.0227519	-0.00360203
3.45	-0.00451481	-0.00365979	0.0228356	-0.0035647
3.46	-0.00494845	-0.00365526	0.0227297	-0.00352314
3.47	-0.00517895	-0.0034696	0.022966	-0.00349709
3.48	-0.00573132	-0.00353479	0.0226157	-0.00354445
3.49	-0.00609906	-0.00335815	0.0227264	-0.00364792
3.5	-0.00681154	-0.00346486	0.0225558	-0.00363771
3.51	-0.00674487	-0.00326806	0.0223103	-0.00352336
3.52	-0.00752778	-0.00339643	0.0224245	-0.00359169
3.53	-0.0077347	-0.00333561	0.0227347	-0.00366777
3.54	-0.00789785	-0.00351543	0.0227152	-0.00355157
3.55	-0.00801136	-0.00333747	0.0230853	-0.00346425
3.56	-0.00850517	-0.00340925	0.0227438	-0.00344022
3.57	-0.00866148	-0.00327857	0.0230341	-0.00354947
3.58	-0.00895308	-0.00338501	0.0226912	-0.00349423
3.59	-0.00895255	-0.0034262	0.0228228	-0.00364005
3.6	-0.00892612	-0.00342449	0.0226016	-0.00341086
3.61	-0.00904802	-0.00318238	0.0226696	-0.00345771
3.62	-0.00944052	-0.00349549	0.022841	-0.00353039
3.63	-0.00939423	-0.00350001	0.0228942	-0.00370742
3.64	-0.0098525	-0.00357475	0.0225969	-0.0036459
3.65	-0.00980647	-0.00358885	0.0228176	-0.00361876
3.66	-0.010144	-0.00351113	0.0225105	-0.00362723
3.67	-0.0100933	-0.00334877	0.0230255	-0.00350237
3.68	-0.0102932	-0.00336418	0.0226477	-0.00350654
3.69	-0.0102928	-0.00326825	0.0230025	-0.0034777
3.7	-0.0105622	-0.00356694	0.0225617	-0.00359599
3.71	-0.01025	-0.00329106	0.0229022	-0.00342348
3.72	-0.0106746	-0.00344132	0.0225421	-0.0035551
3.73	-0.0104697	-0.00318807	0.0224655	-0.00351965
3.74	-0.0108083	-0.0033853	0.0222624	-0.00355941
3.75	-0.0106125	-0.00335373	0.0226018	-0.0036435
3.76	-0.0108799	-0.00336089	0.0224359	-0.00354932
3.77	-0.0108135	-0.00333003	0.0230158	-0.0035533
3.78	-0.0110493	-0.00351481	0.0223214	-0.00361583
3.79	-0.0109328	-0.0034508	0.0226148	-0.00352332
3.8	-0.0108631	-0.00357076	0.0222621	-0.00355668
3.81	-0.0105997	-0.00312982	0.0223865	-0.00345136
3.82	-0.0109411	-0.00343363	0.022196	-0.00361226
3.83	-0.0107624	-0.00341845	0.0226811	-0.00365232
3.84	-0.010797	-0.00362268	0.0222951	-0.00341613
3.85	-0.0105958	-0.0033895	0.0224793	-0.00358843
3.86	-0.0109083	-0.00369414	0.0221753	-0.00363125
3.87	-0.0106437	-0.00353475	0.0225275	-0.00354969
3.88	-0.0108825	-0.00367283	0.0222509	-0.0036219
3.89	-0.0105845	-0.00340535	0.0225494	-0.00358814
3.9	-0.0107808	-0.00345244	0.0222982	-0.00345106
3.91	-0.0104771	-0.00344789	0.0224158	-0.00367551
3.92	-0.0108053	-0.00360118	0.0221384	-0.00363088
3.93	-0.0106701	-0.00347675	0.0223155	-0.00360484
3.94	-0.0107767	-0.00349335	0.0221838	-0.00374925
3.95	-0.0107528	-0.00352078	0.0224306	-0.00354351
3.96	-0.0108009	-0.00351803	0.0221291	-0.0036799
3.97	-0.0106879	-0.00336159	0.0223754	-0.00359891
3.98	-0.0107664	-0.00367808	0.0220175	-0.00357945
3.99	-0.0104751	-0.00342979	0.0223884	-0.00351329
4	-0.0108516	-0.00354404	0.0222517	-0.00364593
4.01	-0.0105541	-0.00335499	0.0224873	-0.00358869
4.02	-0.0110095	-0.00354667	0.0221459	-0.00367121
4.03	-0.0109905	-0.00335029	0.022404	-0.00369133
4.04	-0.0110239	-0.00335818	0.0222383	-0.00365203
4.05	-0.010737	-0.00323805	0.0224657	-0.00365873
4.06	-0.0110324	-0.00343495	0.0222614	-0.00367547
