TimeOfDay	Time	E1_L08.1CG_Col0	E2_L13.1	E3_L08.2CG_mutant	E4_L13.2
15:23:00.953	196	0.0486402	-0.0679977	-0.0570849	0.0660332
15:23:01.953	197	0.0480283	-0.0468917	-0.0584839	0.0628265
15:23:02.953	198	0.047396	-0.0262703	-0.0602459	0.0600915
15:23:03.953	199	0.0464135	-0.00674696	-0.0627039	0.0566912
15:23:04.953	200	0.0454283	0.010285	-0.0652141	0.0537232
15:23:05.953	201	0.0441567	0.0261396	-0.066289	0.0504045
15:23:06.953	202	0.0417621	0.0408533	-0.0674859	0.0470203
15:23:07.953	203	0.0395546	0.051464	-0.0689171	0.0441287
15:23:08.953	204	0.0377015	0.0588066	-0.071309	0.0413822
15:23:09.953	205	0.0355711	0.0645013	-0.073679	0.0379923
15:23:10.953	206	0.03236	0.0690028	-0.0771081	0.0334551
15:23:11.953	207	0.0286703	0.0726196	-0.0800738	0.0293446
15:23:12.953	208	0.0257815	0.075496	-0.083295	0.0258346
15:23:13.953	209	0.0228086	0.0777948	-0.0861762	0.022552
15:23:14.953	210	0.018929	0.0795987	-0.0897464	0.0195821
15:23:15.953	211	0.0168857	0.0806197	-0.0922409	0.0170463
15:23:16.953	212	0.0152495	0.0803582	-0.0946412	0.0150621
15:23:17.953	213	0.013447	0.0800365	-0.097956	0.0131038
15:23:18.953	214	0.0114743	0.0807443	-0.100939	0.0113806
15:23:19.953	215	0.00933108	0.0807175	-0.102457	0.00963269
15:23:20.953	216	0.00775094	0.0801486	-0.103654	0.00839194
15:23:21.953	217	0.00599178	0.0789284	-0.105682	0.00714822
15:23:22.953	218	0.00423685	0.0766273	-0.107722	0.00621676
15:23:23.953	219	0.00257425	0.0746356	-0.110122	0.00541893
15:23:24.953	220	0.00168785	0.0719668	-0.112498	0.00462046
15:23:25.953	221	0.000374833	0.0696639	-0.114378	0.00417931
15:23:26.953	222	-0.00111878	0.066102	-0.116214	0.00400867
15:23:27.953	223	-0.00232153	0.0629961	-0.118033	0.00421847
15:23:28.953	224	-0.00323053	0.0596708	-0.118336	0.00471805
15:23:29.953	225	-0.00467018	0.0556412	-0.12016	0.0051151
15:23:30.953	226	-0.00588584	0.0510188	-0.122128	0.00596852
15:23:31.953	227	-0.00729292	0.0462161	-0.125337	0.00678962
15:23:32.953	228	-0.00891989	0.0420455	-0.126666	0.00788566
15:23:33.953	229	-0.0106059	0.038067	-0.128549	0.00916102
15:23:34.953	230	-0.0109122	0.0342961	-0.128421	0.0109732
15:23:35.953	231	-0.012161	0.0303308	-0.130794	0.0124859
15:23:36.953	232	-0.0127443	0.0256259	-0.133034	0.0141259
15:23:37.953	233	-0.0132021	0.0224587	-0.134623	0.0163462
15:23:38.953	234	-0.0138232	0.0179994	-0.135597	0.0186078
15:23:39.953	235	-0.0152933	0.0144046	-0.136737	0.0208927
15:23:40.953	236	-0.0174539	0.0103503	-0.139577	0.0214902
15:23:41.953	237	-0.0189119	0.00561831	-0.141052	0.0240844
15:23:42.953	238	-0.0205458	0.00200776	-0.144571	0.0267659
15:23:43.953	239	-0.022616	-0.000772042	-0.145548	0.0295846
15:23:44.953	240	-0.0237969	-0.00488823	-0.146857	0.0324712
15:23:45.953	241	-0.0243071	-0.00798941	-0.147735	0.0354118
15:23:46.953	242	-0.0253487	-0.0121313	-0.148007	0.0382141
15:23:47.953	243	-0.0258612	-0.0156105	-0.148872	0.0398299
15:23:48.953	244	-0.027064	-0.0194483	-0.150644	0.0420545
15:23:49.953	245	-0.0280862	-0.0233963	-0.151161	0.0449697
15:23:50.953	246	-0.0291775	-0.027385	-0.153631	0.0471192
15:23:51.953	247	-0.0301855	-0.0314801	-0.153149	0.0493584
15:23:52.953	248	-0.0310726	-0.0345818	-0.153029	0.0515354
15:23:53.953	249	-0.0319816	-0.0380062	-0.151966	0.0533728
15:23:54.953	250	-0.032924	-0.0420684	-0.151712	0.0550794
15:23:55.953	251	-0.0337377	-0.0455533	-0.155349	0.0563166
15:23:56.953	252	-0.0343659	-0.0506475	-0.154285	0.0578956
