TimeOfDay	Time	E1_L13.1	E2_L08.1CG_Col0	E3_L08.2CG_example1	E4_L13.2
14:26:49.770	215	-0.0158415	-0.325182	-0.26702	0.0438131
14:26:50.770	216	-0.00280494	-0.330912	-0.266657	0.0423327
14:26:51.770	217	0.00817592	-0.340029	-0.266534	0.0411655
14:26:52.770	218	0.019204	-0.347379	-0.26644	0.0394049
14:26:53.770	219	0.0298675	-0.352578	-0.266281	0.0374909
14:26:54.770	220	0.0400585	-0.356677	-0.266183	0.0359041
14:26:55.770	221	0.0487581	-0.359352	-0.265893	0.034498
14:26:56.770	222	0.0571365	-0.361581	-0.265294	0.0329262
14:26:57.770	223	0.0646078	-0.363546	-0.264605	0.0309641
14:26:58.770	224	0.0703293	-0.365223	-0.264314	0.0295526
14:26:59.770	225	0.0747007	-0.367437	-0.263978	0.0278768
14:27:00.770	226	0.0790024	-0.369209	-0.264056	0.0262329
14:27:01.770	227	0.0821385	-0.37069	-0.263524	0.0247469
14:27:02.770	228	0.0840512	-0.373373	-0.263142	0.0230687
14:27:03.770	229	0.0849212	-0.375677	-0.262819	0.0211798
14:27:04.770	230	0.0850363	-0.377562	-0.262655	0.0196228
14:27:05.770	231	0.0848706	-0.379416	-0.262172	0.0179708
14:27:06.770	232	0.084377	-0.381277	-0.261531	0.0162008
14:27:07.770	233	0.0829378	-0.382878	-0.26137	0.0144252
14:27:08.770	234	0.0820963	-0.384568	-0.261292	0.0127989
14:27:09.770	235	0.0800618	-0.387216	-0.260514	0.0110962
14:27:10.770	236	0.0782374	-0.388815	-0.260141	0.00913968
14:27:11.770	237	0.0763647	-0.390882	-0.259631	0.00727657
14:27:12.770	238	0.0744587	-0.392123	-0.259363	0.00627115
14:27:13.770	239	0.0808168	-0.38459	-0.259138	0.00433884
14:27:14.770	240	0.0786529	-0.38639	-0.258953	0.00292732
14:27:15.770	241	0.0766735	-0.388275	-0.259031	0.00125541
14:27:16.770	242	0.074236	-0.389769	-0.258858	-8.34279e-05
14:27:17.770	243	0.0718814	-0.391166	-0.258769	-0.000765031
14:27:18.770	244	0.0694286	-0.39336	-0.259035	-0.00308281
14:27:19.770	245	0.0671752	-0.394633	-0.25925	-0.00442055
14:27:20.770	246	0.0646836	-0.395969	-0.258788	-0.00594568
14:27:21.770	247	0.0623993	-0.39727	-0.258763	-0.00783184
14:27:22.770	248	0.0598271	-0.398307	-0.25884	-0.00940743
14:27:23.770	249	0.0575598	-0.399231	-0.258575	-0.0108308
14:27:24.770	250	0.0548679	-0.400455	-0.258822	-0.0121162
14:27:25.770	251	0.0524851	-0.400776	-0.258507	-0.0136068
14:27:26.770	252	0.0506034	-0.401177	-0.258797	-0.0151963
14:27:27.770	253	0.04843	-0.402	-0.25818	-0.0162601
14:27:28.770	254	0.045958	-0.402372	-0.257779	-0.0173927
14:27:29.770	255	0.0436865	-0.402809	-0.257727	-0.0187593
