Time	E1_L08.1PG_Col0	E2_L13.1	E3_L08.2PG_example1	E4_L13.2
3.84	-0.00718215	-0.00464625	0.0387829	0.00491789
3.85	-0.00717714	-0.00494852	0.0380975	0.0050454
3.86	-0.00710178	-0.00472851	0.0381074	0.00492049
3.87	-0.00710043	-0.00467187	0.0377247	0.00512617
3.88	-0.00685616	-0.00452186	0.0380184	0.00519098
3.89	-0.00719465	-0.00488508	0.0375511	0.00507956
3.9	-0.00685804	-0.00473089	0.0377873	0.00513195
3.91	-0.00713624	-0.00487935	0.0371605	0.00530229
3.92	-0.00723838	-0.00477984	0.037125	0.00520451
3.93	-0.00717138	-0.00468011	0.0366752	0.00539556
3.94	-0.00717962	-0.00481722	0.0365143	0.00522024
3.95	-0.00731924	-0.00500287	0.0358391	0.00523622
3.96	-0.00720669	-0.0046604	0.0355948	0.00485815
3.97	-0.00730706	-0.00501635	0.0351326	0.00531976
3.98	-0.00711957	-0.00488466	0.0347611	0.00529697
3.99	-0.00722448	-0.00469347	0.0346656	0.00539601
4	-0.00697054	-0.0046618	0.034579	0.00534602
4.01	-0.00734412	-0.00494855	0.0343922	0.00547887
4.02	-0.00726954	-0.00472563	0.0343843	0.00539946
4.03	-0.00734613	-0.00477427	0.0338913	0.00549496
4.04	-0.00706602	-0.00493815	0.0336644	0.00550469
4.05	-0.00731738	-0.00507746	0.0327464	0.0056599
4.06	-0.00723624	-0.00499213	0.032189	0.00540811
4.07	-0.00712872	-0.0049132	0.0314833	0.00558495
4.08	-0.0069026	-0.00465908	0.0308971	0.00531568
4.09	-0.00729817	-0.00501561	0.0299417	0.0055049
4.1	-0.00721541	-0.00475853	0.0296484	0.00531735
4.11	-0.0071917	-0.00481738	0.0290161	0.00554616
4.12	-0.00704019	-0.0047288	0.0286985	0.00553928
4.13	-0.00728278	-0.0046621	0.0282007	0.00543939
4.14	-0.00734749	-0.00464781	0.0278272	0.00532744
4.15	-0.00726601	-0.00506718	0.0274402	0.00556257
4.16	-0.00728585	-0.00482968	0.0271826	0.00565204
4.17	-0.00738011	-0.00501858	0.0267458	0.00557553
4.18	-0.00721657	-0.00489685	0.0264969	0.00539828
4.19	-0.00733186	-0.00494171	0.0262544	0.00549324
4.2	-0.00739871	-0.00472172	0.0262582	0.00538757
4.21	-0.00733201	-0.00492041	0.0260657	0.0053888
4.22	-0.00726484	-0.00481253	0.0258208	0.00541858
4.23	-0.00726976	-0.00488527	0.0257462	0.00564987
4.24	-0.00717682	-0.00481849	0.0257163	0.00541876
4.25	-0.00737103	-0.00490059	0.0255596	0.00525026
4.26	-0.00741624	-0.00468825	0.0253259	0.00535169
4.27	-0.00732739	-0.00469697	0.0255116	0.00542547
4.28	-0.0070687	-0.00466362	0.0254717	0.00521616
4.29	-0.00712195	-0.00491975	0.0251225	0.00550816
4.3	-0.00725144	-0.00466933	0.0249865	0.0052607
4.31	-0.00740415	-0.0049843	0.025092	0.0053208
4.32	-0.00722491	-0.0047369	0.02497	0.00527307
4.33	-0.0072804	-0.00492564	0.0247347	0.00543674
4.34	-0.00705398	-0.00471605	0.0248887	0.00529233
4.35	-0.00709975	-0.00485746	0.0247026	0.00554014
4.36	-0.00700979	-0.0047369	0.0247566	0.00546966
4.37	-0.00714397	-0.00481032	0.0245229	0.00549284
4.38	-0.00696544	-0.00460504	0.0247466	0.00543175
4.39	-0.0071999	-0.00462712	0.0243635	0.00535658
4.4	-0.0070894	-0.00483533	0.0244557	0.00538847
4.41	-0.00713621	-0.00502361	0.0242503	0.00567238
4.42	-0.00699006	-0.00484824	0.024095	0.00545598
4.43	-0.00702076	-0.00478736	0.0241407	0.00567355
4.44	-0.00707399	-0.00480777	0.0241339	0.00549078
4.45	-0.00720516	-0.00492234	0.0238159	0.00552444
4.46	-0.00716005	-0.00470171	0.0239005	0.00540242
4.47	-0.00719453	-0.00475408	0.0238628	0.00549942
4.48	-0.00697174	-0.00476804	0.0239945	0.00529944
4.49	-0.00719056	-0.00484352	0.0235439	0.0053473
4.5	-0.00721175	-0.00480041	0.023653	0.00538709
4.51	-0.00729865	-0.00480597	0.023692	0.00541174
4.52	-0.00723719	-0.00472741	0.0237799	0.00539077
4.53	-0.00716699	-0.00488035	0.0238066	0.00548046
4.54	-0.00727154	-0.00484001	0.0238874	0.00537254
4.55	-0.00729648	-0.00482435	0.0238636	0.00540308
4.56	-0.00716527	-0.00462341	0.0242008	0.00522537
4.57	-0.00716837	-0.00478911	0.0239659	0.00540502
4.58	-0.00716112	-0.00460281	0.0241891	0.00540969
4.59	-0.00728135	-0.00479304	0.0239187	0.00544653
4.6	-0.00726222	-0.00473374	0.0240403	0.00540934
4.61	-0.00722292	-0.00480814	0.0239817	0.0056581
