TimeOfDay	Time	E1_L08.1CG_example1	E2_L13.1	E3_L13.2	E4_L08.2CG_Col0
15:12:52.139	364	-0.211249	-0.168039	-0.0204768	-0.365563
15:12:53.139	365	-0.210977	-0.168779	-0.022935	-0.365016
15:12:54.139	366	-0.210818	-0.169538	-0.0219069	-0.364545
15:12:55.139	367	-0.210979	-0.169964	-0.0223254	-0.364337
15:12:56.139	368	-0.211115	-0.170429	-0.0230702	-0.363885
15:12:57.139	369	-0.210897	-0.171106	-0.0263053	-0.363844
15:12:58.139	370	-0.21076	-0.171769	-0.0269701	-0.363698
15:12:59.139	371	-0.210567	-0.172055	-0.025663	-0.363
15:13:00.139	372	-0.210369	-0.173128	-0.02561	-0.362793
15:13:01.139	373	-0.210262	-0.173582	-0.0283584	-0.362567
15:13:02.139	374	-0.210132	-0.17405	-0.0266833	-0.362095
15:13:03.139	375	-0.210024	-0.174369	-0.0278745	-0.361838
15:13:04.139	376	-0.209956	-0.175041	-0.0280422	-0.361454
15:13:05.139	377	-0.210038	-0.175346	-0.0265814	-0.360927
15:13:06.139	378	-0.210222	-0.175652	-0.0243988	-0.360334
15:13:07.139	379	-0.210278	-0.17589	-0.0254538	-0.359997
15:13:08.139	380	-0.210114	-0.176325	-0.0318404	-0.359609
15:13:09.139	381	-0.20999	-0.176757	-0.0321575	-0.359308
15:13:10.139	382	-0.210098	-0.176785	-0.0329325	-0.359041
15:13:11.139	383	-0.21002	-0.176914	-0.0330585	-0.358767
15:13:12.139	384	-0.210344	-0.177101	-0.0329474	-0.358242
15:13:13.139	385	-0.21117	-0.177879	-0.0334979	-0.358052
15:13:14.139	386	-0.211883	-0.178069	-0.0338847	-0.35822
